# R1,R2,R3
1.889726,2.078700,3.953360
1.889726,2.078691,3.964648
1.301077,1.889726,2.267666
1.465606,1.889726,2.267672
1.628837,1.889726,2.267676
1.790062,1.889726,2.267672
1.889726,1.948722,2.267666
1.889726,2.104309,2.267671
1.889726,2.256399,2.267671
1.889726,2.267667,2.404601
1.889726,2.267668,2.548564
1.889726,2.267673,2.687960
1.889726,2.267665,2.822477
1.889726,2.267671,2.951847
1.889726,2.267665,3.075771
1.889726,2.267673,3.194008
1.889726,2.267668,3.306295
1.889726,2.267667,3.412426
1.889726,2.267671,3.512187
1.889726,2.267671,3.605367
1.889726,2.267666,3.691779
1.889726,2.267672,3.771271
1.889726,2.267676,3.843661
1.889726,2.267672,3.908811
1.889726,2.267666,3.966603
1.889726,2.267671,4.016928
1.889726,2.267671,4.059675
1.889726,2.267667,4.094760
1.889726,2.267668,4.122123
1.889726,2.267673,4.141710
1.889726,2.267665,4.153467
1.414402,1.889726,2.456648
1.579112,1.889726,2.456642
1.743803,1.889726,2.456647
1.889726,1.907367,2.456642
1.889726,2.068975,2.456648
1.889726,2.227949,2.456639
1.889726,2.383750,2.456641
1.889726,2.456646,2.535856
1.889726,2.456635,2.683855
1.889726,2.456643,2.827348
1.889726,2.456638,2.965962
1.889726,2.456644,3.099381
1.889726,2.456638,3.227280
1.889726,2.456643,3.349392
1.889726,2.456635,3.465424
1.889726,2.456646,3.575161
1.889726,2.456641,3.678320
1.889726,2.456639,3.774722
1.889726,2.456648,3.864158
1.889726,2.456642,3.946424
1.889726,2.456647,4.021382
1.889726,2.456642,4.088853
1.889726,2.456648,4.148715
1.889726,2.456639,4.200829
1.889726,2.456641,4.245116
1.889726,2.456646,4.281472
1.889726,2.456635,4.309814
1.889726,2.456643,4.330112
1.889726,2.456638,4.342298
1.542621,1.889726,2.645615
1.706068,1.889726,2.645610
1.870831,1.889726,2.645618
1.889726,2.035464,2.645610
1.889726,2.198896,2.645615
1.889726,2.360275,2.645624
1.889726,2.518845,2.645619
1.889726,2.645618,2.674041
1.889726,2.645625,2.825322
1.889726,2.645616,2.972209
1.889726,2.645612,3.114297
1.889726,2.645617,3.251208
1.889726,2.645612,3.382575
1.889726,2.645616,3.508087
1.889726,2.645625,3.627444
1.889726,2.645618,3.740351
1.889726,2.645619,3.846576
1.889726,2.645624,3.945869
1.889726,2.645615,4.038013
1.889726,2.645610,4.122805
1.889726,2.645618,4.200085
1.889726,2.645610,4.269656
1.889726,2.645615,4.331398
1.889726,2.645624,4.385179
1.889726,2.645619,4.430859
1.889726,2.645618,4.468370
1.889726,2.645625,4.497633
1.889726,2.645616,4.518564
1.889726,2.645612,4.531141
1.682320,1.889726,2.834587
1.843684,1.889726,2.834592
1.889726,2.007632,2.834589
1.889726,2.172482,2.834592
1.889726,2.336910,2.834587
1.889726,2.499876,2.834592
1.889726,2.660516,2.834588
1.889726,2.818128,2.834591
1.889726,2.834592,2.972068
1.889726,2.834585,3.121799
1.889726,2.834585,3.266840
1.889726,2.834589,3.406752
1.889726,2.834585,3.541133
1.889726,2.834585,3.669639
1.889726,2.834592,3.791934
1.889726,2.834591,3.907697
1.889726,2.834588,4.016661
1.889726,2.834592,4.118565
1.889726,2.834587,4.213164
1.889726,2.834592,4.300265
1.889726,2.834589,4.379649
1.889726,2.834592,4.451155
1.889726,2.834587,4.514609
1.889726,2.834592,4.569890
1.889726,2.834588,4.616860
1.889726,2.834591,4.655436
1.889726,2.834592,4.685524
1.889726,2.834585,4.707055
1.889726,2.834585,4.719995
1.889726,1.986357,3.212537
1.889726,2.142531,3.212542
1.889726,2.303477,3.212530
1.889726,2.467185,3.212542
1.889726,2.631978,3.212537
1.889726,2.796533,3.212529
1.889726,2.959753,3.212528
1.889726,3.120706,3.212536
1.889726,3.212526,3.278555
1.889726,3.212528,3.432644
1.889726,3.212532,3.582352
