G1,G2,G3
2.766453e-02,6.037217e-05,1.612492e-08
6.232599e-04,8.846000e-08,8.588090e-15
6.728236e-02,4.702015e-05,2.821774e-09
3.368720e-04,2.022278e-08,4.172692e-16
8.960950e-02,8.012337e-05,1.714087e-08
4.912124e-02,6.549603e-05,1.955764e-08
1.816923e-01,2.504224e-05,6.036660e-10
1.228808e-01,1.406308e-03,1.998327e-06
7.710142e-04,1.488643e-07,5.050091e-13
1.043867e-02,8.580600e-07,7.827327e-12
2.169145e-01,5.862993e-05,2.905094e-09
1.453499e-02,5.233000e-05,3.846508e-09
4.222056e-02,1.662632e-05,5.978986e-10
7.326339e-02,1.073836e-05,3.697108e-10
5.765371e-03,7.136143e-06,6.441336e-11
7.785044e-02,8.071476e-06,5.718097e-11
1.567086e-01,8.004798e-04,6.143506e-07
5.744417e-02,1.135781e-05,3.135382e-10
1.844011e-01,1.910432e-04,4.908561e-08
1.776613e-02,6.986580e-05,5.242853e-09
1.421373e-02,4.164572e-05,1.852370e-09
8.245476e-03,1.764942e-06,1.194629e-11
1.359015e-01,4.738990e-05,1.996241e-09
6.329265e-02,1.720147e-04,6.096292e-08
3.767160e-03,6.873701e-07,9.926483e-13
3.307324e-03,2.603753e-06,2.351929e-11
6.190145e-03,6.865672e-07,3.564490e-12
1.031045e-03,4.955228e-08,3.623322e-14
1.693865e-01,1.799202e-05,3.019982e-10
1.901880e-01,5.713815e-03,2.622493e-05
1.054660e-01,4.461218e-05,2.156455e-09
5.077923e-04,5.996422e-08,1.470484e-14
1.543678e-01,7.010748e-04,4.162832e-07
6.892004e-02,2.742435e-04,2.033779e-07
5.293869e-03,3.616254e-06,3.165310e-10
5.850298e-02,4.867047e-05,2.116081e-09
7.649391e-03,1.704266e-06,6.808836e-12
1.338029e-01,5.072484e-03,4.280310e-05
2.305400e-02,7.384094e-05,1.436746e-08
2.304001e-01,6.493009e-03,2.841197e-05
2.404816e-03,2.609908e-07,1.690131e-13
5.366513e-04,3.800451e-08,6.007306e-15
1.914062e-02,1.601732e-05,2.573459e-10
1.440342e-02,3.141316e-05,7.475013e-09
2.114783e-04,8.838131e-09,1.143234e-16
8.362641e-02,3.819068e-05,1.243545e-09
9.939934e-02,5.172576e-04,2.570488e-07
1.349249e-01,2.284588e-04,6.829700e-08
4.629551e-03,2.857141e-07,8.274606e-14
1.072137e-03,6.816941e-08,7.048934e-15
2.220783e-01,1.150116e-02,1.586199e-04
3.156801e-03,1.265631e-06,7.680012e-12
1.330189e-01,8.852010e-05,1.127701e-08
1.237307e-02,2.494315e-05,1.097315e-09
1.419583e-02,3.936107e-05,5.583779e-09
