# Ang2,R1,R3,ETot[Eh],ERel[Eh]
65,2.5,3,-163.37077732,0.268096
65,2.5,3.1,-163.36966496,0.269208
65,2.5,3.2,-163.39014623,0.248727
65,2.5,3.3,-163.41032583,0.228548
65,2.5,3.4,-163.42811588,0.210757
65,2.5,3.6,-163.45767938,0.181194
65,2.5,3.8,-163.48112245,0.157751
65,2.5,4,-163.49988245,0.138991
65,2.6,2.6,-163.37033634,0.268537
65,2.6,2.7,-163.37760773,0.261266
65,2.6,2.8,-163.38102319,0.257850
65,2.6,2.9,-163.38159631,0.257277
65,2.6,3,-163.38012954,0.258744
65,2.6,3.1,-163.37735753,0.261516
65,2.6,3.2,-163.37486338,0.264010
65,2.6,3.3,-163.38848763,0.250386
65,2.6,3.4,-163.40525220,0.233621
65,2.6,3.6,-163.43325311,0.205620
65,2.6,3.8,-163.45536945,0.183504
65,2.6,4,-163.47308817,0.165785
65,2.8,2.8,-163.38916551,0.249708
65,2.8,2.9,-163.38869503,0.250178
65,2.8,3,-163.38625471,0.252619
65,2.8,3.1,-163.38242389,0.256449
65,2.8,3.2,-163.37769379,0.261180
65,2.8,3.3,-163.37261072,0.266263
65,2.8,3.4,-163.36876961,0.270104
65,2.8,3.6,-163.38540494,0.253468
65,2.8,3.8,-163.40501418,0.233859
65,2.8,4,-163.42074371,0.218130
65,3,3,-163.38199496,0.256878
65,3,3.1,-163.37762662,0.261247
65,3,3.2,-163.37237140,0.266502
65,3,3.3,-163.36658749,0.272286
65,3,3.4,-163.36062349,0.278250
65,3,3.6,-163.34895055,0.289923
65,3,3.8,-163.36080972,0.278064
65,3,4,-163.37456799,0.264305
