# R1,R2,R3,ETriat,E
2.250000,2.591420,2.550000,32.292187,9.652585
2.550000,2.591420,2.250000,32.292187,9.652585
2.250000,2.622569,2.600000,31.485738,9.449316
2.600000,2.622569,2.250000,31.485738,9.449316
2.250000,2.686576,2.700000,29.968469,9.150671
2.700000,2.686576,2.250000,29.968469,9.150671
2.250000,2.752728,2.800000,28.567926,8.959457
2.800000,2.752728,2.250000,28.567926,8.959457
2.250000,2.820874,2.900000,26.469259,8.036148
2.900000,2.820874,2.250000,26.469259,8.036148
2.250000,2.890874,3.000000,24.441590,7.130743
3.000000,2.890874,2.250000,24.441590,7.130743
2.250000,2.962596,3.100000,22.583086,6.326892
3.100000,2.962596,2.250000,22.583086,6.326892
2.250000,3.035918,3.200000,20.899422,5.619804
3.200000,3.035918,2.250000,20.899422,5.619804
2.250000,3.110726,3.300000,19.385351,4.997452
3.300000,3.110726,2.250000,19.385351,4.997452
2.250000,3.186917,3.400000,18.031753,4.447293
3.400000,3.186917,2.250000,18.031753,4.447293
2.250000,3.343065,3.600000,15.764754,3.523058
3.600000,3.343065,2.250000,15.764754,3.523058
2.250000,3.503673,3.800000,14.015765,2.788214
3.800000,3.503673,2.250000,14.015765,2.788214
2.250000,3.668156,4.000000,12.701807,2.208041
4.000000,3.668156,2.250000,12.701807,2.208041
2.300000,2.471578,2.300000,35.839481,10.901561
2.300000,2.471578,2.300000,35.839481,10.901561
2.300000,2.498799,2.350000,34.869047,10.416654
2.350000,2.498799,2.300000,34.869047,10.416654
2.300000,2.526716,2.400000,33.936528,10.006932
2.400000,2.526716,2.300000,33.936528,10.006932
2.300000,2.555307,2.450000,33.040874,9.662899
2.450000,2.555307,2.300000,33.040874,9.662899
2.300000,2.584548,2.500000,32.180933,9.376118
2.500000,2.584548,2.300000,32.180933,9.376118
2.300000,2.614419,2.550000,31.355626,9.139215
2.550000,2.614419,2.300000,31.355626,9.139215
2.300000,2.644898,2.600000,30.563823,8.945606
