# R1,R2,R3,ETriat,E
2.500000,9.441874,10.000000,9.446295,2.071178
10.000000,9.441874,2.500000,9.446295,2.071178
1.600000,9.571591,10.000000,9.102192,8.963410
10.000000,9.571591,1.600000,9.102192,8.963410
2.150000,7.915112,8.000000,9.282982,0.000126
8.000000,7.915112,2.150000,9.282982,0.000126
1.700000,10.143471,10.000000,9.087170,4.770061
10.000000,10.143471,1.700000,9.087170,4.770061
2.300000,7.530183,8.000000,9.354467,0.666367
8.000000,7.530183,2.300000,9.354467,0.666367
2.000000,7.902105,8.000000,9.215495,0.038330
8.000000,7.902105,2.000000,9.215495,0.038330
1.900000,7.563900,8.000000,9.172216,0.716353
8.000000,7.563900,1.900000,9.172216,0.716353
2.000000,3.385516,3.500000,15.947600,3.345172
3.500000,3.385516,2.000000,15.947600,3.345172
2.500000,4.764399,5.000000,9.888099,2.337189
5.000000,4.764399,2.500000,9.888099,2.337189
1.900000,4.119532,4.000000,11.175686,1.840185
4.000000,4.119532,1.900000,11.175686,1.840185
1.900000,7.895004,8.000000,9.171192,0.716449
8.000000,7.895004,1.900000,9.171192,0.716449
2.000000,3.145654,2.800000,23.598386,6.254567
2.800000,3.145654,2.000000,23.598386,6.254567
2.000000,4.149895,4.000000,11.184421,1.151637
4.000000,4.149895,2.000000,11.184421,1.151637
2.300000,3.448718,3.000000,18.537940,4.333654
3.000000,3.448718,2.300000,18.537940,4.333654
2.500000,4.333248,4.000000,11.172107,3.054776
4.000000,4.333248,2.500000,11.172107,3.054776
2.800000,3.731315,3.000000,15.408088,5.480338
3.000000,3.731315,2.800000,15.408088,5.480338
2.000000,2.613388,2.500000,35.219333,12.138923
2.500000,2.613388,2.000000,35.219333,12.138923
1.800000,2.923385,3.000000,24.507899,9.407503
3.000000,2.923385,1.800000,24.507899,9.407503
2.500000,3.181147,3.000000,20.681963,6.649677
3.000000,3.181147,2.500000,20.681963,6.649677
1.800000,2.762687,2.800000,29.356890,11.815189
2.800000,2.762687,1.800000,29.356890,11.815189
2.300000,3.872574,4.000000,11.974171,2.119774
4.000000,3.872574,2.300000,11.974171,2.119774
1.600000,4.699753,5.000000,9.521088,9.193894
5.000000,4.699753,1.600000,9.521088,9.193894
2.000000,9.503641,10.000000,9.212270,0.039886
10.000000,9.503641,2.000000,9.212270,0.039886
1.700000,4.698474,5.000000,9.518593,5.012501
5.000000,4.698474,1.700000,9.518593,5.012501
2.300000,4.735350,5.000000,9.799529,0.936251
5.000000,4.735350,2.300000,9.799529,0.936251
1.900000,5.640208,6.000000,9.249905,0.749181
6.000000,5.640208,1.900000,9.249905,0.749181
2.000000,5.638397,6.000000,9.295473,0.072241
6.000000,5.638397,2.000000,9.295473,0.072241
2.500000,3.537605,3.500000,15.189433,4.897604
3.500000,3.537605,2.500000,15.189433,4.897604
1.800000,5.643790,6.000000,9.205789,2.215969
6.000000,5.643790,1.800000,9.205789,2.215969
2.150000,2.555371,2.300000,37.165710,12.241411
2.300000,2.555371,2.150000,37.165710,12.241411
1.700000,2.898516,3.000000,24.785997,12.142776
3.000000,2.898516,1.700000,24.785997,12.142776
2.150000,5.639005,6.000000,9.364464,0.035525
6.000000,5.639005,2.150000,9.364464,0.035525
2.800000,3.658744,3.500000,14.397263,6.631294
3.500000,3.658744,2.800000,14.397263,6.631294
1.600000,3.765919,4.000000,11.896074,10.403195
4.000000,3.765919,1.600000,11.896074,10.403195
3.000000,3.750677,3.500000,13.652795,7.415733
