G1,G2,G3
2.619979e-01,5.851408e-02,1.090476e-02
2.617420e-01,5.838576e-02,1.088679e-02
2.613245e-01,5.817641e-02,1.085747e-02
2.607585e-01,5.789263e-02,1.081776e-02
2.600614e-01,5.754313e-02,1.076887e-02
2.592540e-01,5.713839e-02,1.071229e-02
2.583599e-01,5.669019e-02,1.064968e-02
2.574041e-01,5.621110e-02,1.058281e-02
2.564123e-01,5.571404e-02,1.051350e-02
2.554103e-01,5.521191e-02,1.044354e-02
2.544229e-01,5.471714e-02,1.037466e-02
2.534735e-01,5.424146e-02,1.030850e-02
2.525836e-01,5.379568e-02,1.024655e-02
2.517727e-01,5.338946e-02,1.019013e-02
2.510578e-01,5.303134e-02,1.014043e-02
2.504531e-01,5.272850e-02,1.009843e-02
2.499706e-01,5.248683e-02,1.006492e-02
2.496195e-01,5.231096e-02,1.004055e-02
2.494061e-01,5.220413e-02,1.002574e-02
2.335283e-01,4.289300e-02,7.091489e-03
2.335872e-01,4.292186e-02,7.094730e-03
2.337627e-01,4.300791e-02,7.104400e-03
2.340516e-01,4.314951e-02,7.120317e-03
2.344482e-01,4.334392e-02,7.142171e-03
2.349448e-01,4.358735e-02,7.169546e-03
2.355314e-01,4.387493e-02,7.201899e-03
2.361958e-01,4.420066e-02,7.238556e-03
2.369239e-01,4.455764e-02,7.278751e-03
2.376995e-01,4.493794e-02,7.321592e-03
2.385050e-01,4.533288e-02,7.366110e-03
2.393209e-01,4.573298e-02,7.411233e-03
2.401271e-01,4.612833e-02,7.455845e-03
2.409028e-01,4.650874e-02,7.498795e-03
2.416273e-01,4.686402e-02,7.538930e-03
2.422804e-01,4.718435e-02,7.575136e-03
2.428436e-01,4.746059e-02,7.606372e-03
2.433003e-01,4.768462e-02,7.631713e-03
2.436370e-01,4.784973e-02,7.650395e-03
2.438432e-01,4.795087e-02,7.661841e-03
2.439126e-01,4.798494e-02,7.665696e-03
2.438432e-01,4.795087e-02,7.661841e-03
2.436370e-01,4.784973e-02,7.650395e-03
2.433003e-01,4.768462e-02,7.631713e-03
2.428436e-01,4.746059e-02,7.606372e-03
2.422804e-01,4.718435e-02,7.575136e-03
2.416273e-01,4.686402e-02,7.538930e-03
2.409028e-01,4.650874e-02,7.498795e-03
2.401271e-01,4.612833e-02,7.455845e-03
2.393209e-01,4.573298e-02,7.411233e-03
2.385050e-01,4.533288e-02,7.366110e-03
2.376995e-01,4.493794e-02,7.321592e-03
2.369239e-01,4.455764e-02,7.278751e-03
2.361958e-01,4.420066e-02,7.238556e-03
2.355314e-01,4.387493e-02,7.201899e-03
