# R1,R2,R3,ETriat
9.000000,1.246645,7.753355,0.590315
9.000000,0.553355,9.553355,7.839048
9.000000,0.703355,9.703355,-0.601482
9.000000,0.903355,9.903355,0.227119
9.000000,1.153355,10.153350,-1.168771
9.000000,1.403355,10.403350,-1.099965
9.000000,1.653355,10.653350,-1.036334
9.000000,1.903355,10.903350,-0.960415
9.000000,2.153355,11.153350,-0.868487
9.000000,2.453355,11.453350,-0.723001
9.000000,2.753355,11.753350,-0.529884
9.000000,3.053355,12.053350,-0.325137
9.000000,3.453355,12.453350,-0.099679
9.000000,3.853355,12.853350,-0.014754
9.000000,4.153355,13.153350,0.019119
9.000000,4.653355,13.653350,0.048722
2.000000,0.762619,2.713683,-2.269083
2.000000,0.957768,2.913358,-2.626872
2.000000,1.154579,3.113074,-2.783407
2.000000,1.352325,3.312825,-2.941140
2.000000,1.749356,3.712407,-3.134750
2.000000,2.147490,4.112070,-3.073877
2.000000,2.945274,4.911561,-2.215415
2.400000,0.572979,2.897126,1.982989
2.400000,0.761041,3.096713,-2.109319
4.000000,1.525238,5.427366,0.560266
4.000000,1.719830,5.627029,-2.087055
4.000000,1.915536,5.826715,-2.046677
4.000000,2.161275,6.076352,-1.976988
4.000000,2.407891,6.326018,-1.874830
4.000000,2.902861,6.825423,-1.530729
4.000000,3.399303,7.324909,-1.026362
4.000000,3.896655,7.824460,-0.569018
4.000000,4.892979,8.823716,-0.421740
4.000000,5.391651,9.323403,-0.472276
4.000000,5.890549,9.823123,-0.498579
4.000000,6.888823,10.822640,-0.517080
4.500000,1.284384,5.656634,-0.494792
4.500000,1.474802,5.856241,-1.601636
4.500000,1.667464,6.055874,-1.565257
4.500000,1.910415,6.305448,-1.508015
4.500000,2.154978,6.555055,-1.434768
4.500000,2.647154,7.054351,-1.199447
4.500000,3.141802,7.553741,-0.819473
4.500000,3.637913,8.053206,-0.426690
4.500000,4.632645,9.052314,-0.130111
4.500000,5.130779,9.551938,-0.195898
4.500000,5.629244,10.051600,-0.241122
4.500000,6.626867,11.051010,-0.275393
5.000000,1.057325,5.886018,-0.934793
5.000000,1.239865,6.085569,-1.360626
5.000000,1.427094,6.285149,-1.317564
5.000000,1.665311,6.534660,-1.268118
5.000000,1.906547,6.784207,-1.208733
5.000000,2.394420,7.283394,-1.041226
5.000000,2.886447,7.782686,-0.760902
5.000000,3.380813,8.282062,-0.417412
5.000000,4.373391,9.281018,-0.074227
5.000000,4.870819,9.780575,-0.040105
5.000000,5.368724,10.280180,-0.060572
5.000000,6.365521,11.279480,-0.114535
3.200000,0.856877,3.962619,6.445961
3.200000,1.336850,4.461689,-2.719535
3.200000,1.729020,4.861082,-2.724345
3.200000,2.124112,5.260567,-2.637671
3.200000,2.520753,5.660125,-2.438896
3.200000,3.117324,6.259568,-1.859940
3.200000,3.715000,6.859109,-1.095434
3.200000,4.313321,7.458723,-0.518103
3.200000,4.812241,7.958446,-0.266504
3.200000,5.311365,8.458201,-0.303930
3.200000,5.810639,8.957984,-0.326769
3.200000,6.310028,9.457790,-0.338025
3.200000,7.309057,10.457460,-0.345393
3.800000,2.510008,6.234438,-2.034640
3.800000,3.005806,6.733886,-1.635205
3.800000,3.502799,7.233410,-1.086820
3.800000,4.000541,7.732995,-0.615628
3.800000,4.299437,8.032771,-0.454351
3.800000,4.797905,8.532433,-0.471400
3.800000,4.997377,8.732308,-0.494213
3.800000,5.496227,9.232021,-0.534442
3.800000,5.995268,9.731763,-0.554887
3.800000,6.993761,10.731320,-0.568975
4.500000,0.743943,5.057999,-0.173600
4.500000,1.861675,6.255531,-1.520405
4.500000,2.647154,7.054351,-1.199447
4.500000,3.637913,8.053206,-0.426690
4.500000,4.632645,9.052314,-0.130115
4.500000,5.629244,10.051600,-0.241122
4.500000,6.626867,11.051010,-0.275393
5.200000,1.522026,6.576474,-1.234298
5.200000,2.294380,7.375041,-1.019494
5.200000,3.278520,8.373634,-0.442121
5.200000,4.270037,9.372527,-0.076826
5.200000,5.264763,10.371630,-0.026337
5.200000,6.261170,11.370900,-0.076573
6.000000,0.589857,5.746986,2.033763
6.000000,1.162372,6.943505,-1.206101
6.000000,1.902602,7.741783,-1.025356
6.000000,2.873304,8.740073,-0.613648
6.000000,3.858997,9.738714,-0.125870
6.000000,4.850551,10.737610,-0.017985
6.000000,5.844983,11.736690,-0.003750
9.000000,6.283603,15.107480,0.014739
9.000000,7.275826,16.106410,0.015255
6.500000,1.437639,7.721663,-1.104095
6.500000,1.667549,7.971111,-1.046766
6.500000,2.140921,8.470105,-0.924755
6.500000,2.624189,8.969212,-0.728750
6.500000,2.916858,9.268722,-0.563653
6.500000,3.407475,9.767972,-0.279188
6.500000,3.604443,9.967693,-0.192849
6.500000,4.098150,10.467040,-0.067910
6.500000,4.593219,10.966450,-0.022764
6.500000,5.585992,11.965420,0.000517
6.500000,6.580954,12.964540,0.003089
6.500000,7.577242,13.963790,-0.006302
7.500000,1.043370,8.180655,-1.206699
7.500000,1.239905,8.429999,-1.148257
7.500000,1.676262,8.928798,-1.034930
7.500000,2.140641,9.427724,-0.879186
