# R1,R2,R3
1.800000,9.046963,10.819010
1.800000,10.046810,11.818930
2.400000,1.096027,1.304985
2.400000,0.901196,1.503090
2.400000,0.953972,3.296350
2.400000,1.149322,3.496029
2.400000,1.741716,4.095254
2.400000,2.736415,5.094367
2.400000,3.234991,5.594042
2.400000,3.733947,6.093771
2.400000,4.233150,6.593541
2.400000,4.732521,7.093343
2.400000,5.032203,7.393237
2.400000,5.531751,7.893078
2.400000,5.731592,8.093021
2.400000,6.231239,8.592888
2.400000,6.730939,9.092769
2.400000,7.730455,10.092570
1.800000,1.058862,2.821740
1.800000,1.256721,3.021496
1.800000,1.504841,3.271233
1.800000,1.653984,3.421093
1.800000,1.803270,3.570966
1.800000,1.952666,3.720848
1.800000,2.151990,3.920706
1.800000,2.351430,4.120577
3.800000,1.624079,5.335694
3.800000,0.771442,4.437458
3.800000,0.953422,4.637007
3.800000,1.141449,4.836593
3.800000,1.332965,5.036212
3.800000,1.624079,5.335694
3.800000,1.917934,5.635231
4.000000,1.087680,2.935445
4.000000,0.994374,3.034867
4.000000,0.774915,4.629003
4.000000,0.863843,4.728768
4.000000,1.047707,4.928327
4.000000,1.236590,5.127920
4.000000,1.428502,5.327543
4.000000,1.622369,5.527194
4.500000,1.258918,3.265103
4.500000,1.026705,3.513682
4.500000,0.936387,3.613168
4.500000,1.005757,5.357279
4.500000,1.097381,5.457056
4.500000,1.237252,5.606737
4.500000,1.379254,5.756434
5.000000,0.799337,5.586751
5.000000,0.882386,5.686498
5.000000,0.925169,5.736375
5.000000,0.968644,5.786254
5.200000,2.114415,3.091472
5.200000,1.920327,3.289757
5.200000,1.727588,3.488239
5.200000,1.584215,3.637208
5.200000,1.348468,3.885668
5.200000,1.118926,4.134313
5.200000,0.805574,5.778304
5.200000,0.845976,5.828175
5.200000,0.887356,5.878048
5.200000,0.972550,5.977801
5.200000,1.105002,6.127445
5.200000,1.241454,6.277106
5.200000,1.427624,6.476678
6.500000,2.813616,3.691013
6.500000,2.618695,3.889114
6.500000,2.424602,4.087399
6.500000,2.279702,4.236220
6.500000,2.039842,4.484428
6.500000,1.802738,4.732825
6.500000,1.569642,4.981382
6.500000,1.477952,5.080845
6.500000,1.342643,5.230077
6.500000,1.254294,5.329589
6.500000,0.967575,7.173011
6.500000,1.088369,7.322623
6.500000,1.172652,7.422374
6.500000,1.303250,7.572011
7.500000,3.253991,4.251246
7.500000,3.107685,4.399790
7.500000,2.961748,4.548430
7.500000,2.816239,4.697157
7.500000,2.574868,4.945205
7.500000,2.478798,5.044479
7.500000,2.335313,5.193441
7.500000,2.145387,5.392147
7.500000,2.051141,5.491535
7.500000,1.910871,5.640658
7.500000,1.772195,5.789826
7.500000,1.680825,5.889295
7.500000,1.545775,6.038531
7.500000,1.413742,6.187804
7.500000,1.327842,6.287339
7.500000,1.203083,6.436668
7.500000,0.845652,7.881496
7.500000,0.937749,8.031068
2.000000,0.809196,2.702098
2.000000,0.999332,2.901369
2.000000,1.192700,3.100734
2.000000,1.387948,3.300175
2.000000,1.781609,3.699239
2.000000,2.177583,4.098486
2.000000,2.972765,4.897348
2.400000,0.645103,2.884103
4.000000,1.807465,5.603442
4.000000,1.998665,5.802738
4.000000,2.239828,6.051925
4.000000,2.482739,6.301175
4.000000,2.972092,6.799842
4.000000,3.464486,7.298690
4.000000,3.958787,7.797687
4.000000,4.950824,8.796021
4.000000,5.447935,9.295323
4.000000,5.945530,9.794696
4.000000,6.941757,10.793620
4.500000,1.588330,5.830742
4.500000,1.773836,6.029919
4.500000,2.009631,6.278963
4.500000,2.248498,6.528081
4.500000,2.732214,7.026504
4.500000,3.220907,7.525136
4.500000,3.712613,8.023938
4.500000,4.701276,9.021941
4.500000,5.197234,9.521099
4.500000,5.693900,10.020340
4.500000,6.688722,11.019030
5.000000,1.386960,6.058303
5.000000,1.563114,6.257360
5.000000,1.790366,6.506262
5.000000,2.022991,6.755246
5.000000,2.498331,7.253423
5.000000,2.981749,7.751835
5.000000,3.469869,8.250439
5.000000,4.454024,9.248099
5.000000,4.948484,9.747109
5.000000,5.443956,10.246210
5.000000,6.437002,11.244670
3.200000,0.947064,3.944988
3.200000,1.407976,4.442900
3.200000,1.791862,4.841540
3.200000,2.181546,5.240386
3.200000,2.574396,5.639397
3.200000,3.167030,6.238149
3.200000,3.761999,6.837121
3.200000,4.358348,7.436258
3.200000,4.855993,7.935639
3.200000,5.354076,8.435093
3.200000,5.852486,8.934608
3.200000,6.351147,9.434175
3.200000,7.349013,10.433430
3.800000,2.578351,6.210492
3.800000,3.069408,6.709255
3.800000,3.562952,7.208189
3.800000,4.058078,7.707261
3.800000,4.355688,8.006760
3.800000,4.852359,8.506003
3.800000,5.051211,8.705724
3.800000,5.548702,9.205081
3.800000,6.046608,9.704505
3.800000,7.043309,10.703510
4.500000,0.909941,5.034688
4.500000,1.962191,6.229148
4.500000,2.732214,7.026504
4.500000,3.712613,8.023938
4.500000,4.701276,9.021941
4.500000,5.693900,10.020340
4.500000,6.688722,11.019030
5.200000,0.782554,5.354094
5.200000,1.661539,6.547473
5.200000,2.406850,7.344257
5.200000,3.373899,8.341104
5.200000,4.355853,9.338625
5.200000,5.344504,10.336620
5.200000,6.336718,11.334980
6.000000,1.365133,6.911808
6.000000,2.056694,7.707943
6.000000,2.997997,8.704108
6.000000,3.968122,9.701062
6.000000,4.950150,10.698580
6.000000,5.938181,11.696530
9.000000,2.097849,7.093755
9.000000,1.343641,8.281893
9.000000,1.294207,9.075720
9.000000,1.819883,10.069380
9.000000,2.636091,11.064180
9.000000,3.547672,12.059840
9.000000,4.496996,13.056160
6.500000,1.641552,7.686742
6.500000,1.855169,7.935504
6.500000,2.304467,8.433247
6.500000,2.771189,8.931242
6.500000,3.056278,9.230144
6.500000,3.536913,9.728463
6.500000,3.730593,9.927838
