Variables = "r1", "r2", "r3", "E"
   4.644500E+00,   1.345700E+01,   8.965600E+00,  -8.411696E-06
   6.513200E+00,   8.198400E+00,   6.085000E+00,   7.110078E-04
   9.349600E+00,   1.637400E+01,   9.114800E+00,   2.387842E-19
   9.973100E+00,   1.968200E+01,   9.786500E+00,   9.782216E-27
   5.612500E+00,   7.739200E+00,   3.425900E+00,   3.263207E-02
   3.334300E+00,   5.566100E+00,   3.082600E+00,   2.159601E+00
   9.466600E+00,   1.261700E+01,   4.209600E+00,  -1.769047E-05
   5.850200E+00,   5.899900E+00,   1.635300E+00,  -2.354952E-03
   8.157000E+00,   1.319400E+01,   8.123200E+00,   5.800201E-12
   9.992500E+00,   1.288100E+01,   4.473400E+00,  -2.398370E-06
   5.789200E+00,   7.599500E+00,   6.479800E+00,   2.671977E-03
   1.740300E+00,   9.527000E+00,   7.796100E+00,  -8.347003E-05
   2.047300E+00,   2.686400E+00,   2.853900E+00,   1.989800E+01
   7.010700E+00,   1.067100E+01,   3.672900E+00,  -5.337737E-04
   8.175600E+00,   1.680700E+01,   8.750800E+00,   5.370661E-18
   7.985700E+00,   1.090600E+01,   2.950700E+00,  -5.237377E-04
   8.818100E+00,   1.735400E+01,   8.610500E+00,   1.893982E-19
   2.616700E+00,   1.043400E+01,   7.817000E+00,  -4.602647E-04
   6.259800E+00,   1.058700E+01,   5.255000E+00,   2.632202E-05
   5.375600E+00,   9.868100E+00,   5.288700E+00,   4.578255E-04
   3.947800E+00,   1.212700E+01,   9.141100E+00,  -4.556605E-05
   9.615800E+00,   1.105200E+01,   6.677800E+00,   2.901112E-09
   8.839900E+00,   1.472200E+01,   6.097100E+00,  -7.493671E-10
   4.012200E+00,   4.459900E+00,   1.944800E+00,   1.435105E+00
   3.670500E+00,   8.616800E+00,   6.379700E+00,   3.180111E-03
   5.045200E+00,   1.235100E+01,   7.996500E+00,  -1.603472E-06
   4.956400E+00,   6.537100E+00,   5.636600E+00,   4.076169E-02
   3.373700E+00,   1.106700E+01,   9.164800E+00,   5.389186E-06
   8.345900E+00,   1.226900E+01,   6.868700E+00,   6.990101E-10
   8.692700E+00,   1.070700E+01,   5.651400E+00,   2.066638E-07
   8.667300E+00,   8.811100E+00,   1.845300E+00,  -4.298806E-05
   3.049700E+00,   6.806500E+00,   3.839500E+00,   1.567033E+00
   2.645600E+00,   5.354600E+00,   5.728000E+00,   2.024670E-01
   6.486800E+00,   6.191400E+00,   4.173600E+00,   4.908935E-02
   4.680100E+00,   6.684600E+00,   5.125100E+00,   5.129496E-02
   6.492500E+00,   1.453400E+01,   9.194300E+00,  -1.392312E-11
   1.959400E+00,   7.025600E+00,   7.272000E+00,   1.337110E-03
   1.593500E+00,   6.963500E+00,   6.687600E+00,  -2.011188E-02
   9.456900E+00,   1.506500E+01,   8.332600E+00,   2.400902E-16
   4.540100E+00,   1.327100E+01,   9.171900E+00,  -1.044601E-05
   2.193000E+00,   6.032700E+00,   4.385300E+00,   6.445903E-01
   7.433400E+00,   1.413100E+01,   9.787700E+00,   2.284695E-14
   7.718300E+00,   1.017200E+01,   2.455700E+00,  -3.804803E-04
   4.792800E+00,   8.963100E+00,   5.929400E+00,   1.284877E-03
   6.300800E+00,   1.471500E+01,   8.624100E+00,  -1.397860E-10
   9.950600E+00,   1.955500E+01,   9.959700E+00,   7.371672E-27
   5.604300E+00,   1.086600E+01,   9.766600E+00,   5.453047E-08
   6.399400E+00,   9.857000E+00,   9.665900E+00,   8.065811E-08
   2.694800E+00,   9.094500E+00,   8.380500E+00,   3.422927E-04
   6.759900E+00,   7.884400E+00,   5.049300E+00,   2.519389E-03
   2.561900E+00,   1.162200E+01,   9.172600E+00,  -1.767089E-04
