G1,G2,G3
1.614583e-01,5.350380e-03,1.365793e-04
1.610277e-01,5.150109e-03,1.274288e-04
1.606236e-01,4.962156e-03,1.188412e-04
1.602473e-01,4.787147e-03,1.108450e-04
1.598994e-01,4.625335e-03,1.034518e-04
1.595797e-01,4.476660e-03,9.665878e-05
1.592877e-01,4.340838e-03,9.045306e-05
1.590223e-01,4.217421e-03,8.481408e-05
1.587824e-01,4.105845e-03,7.971614e-05
1.585666e-01,4.005483e-03,7.513061e-05
1.583736e-01,3.915678e-03,7.102739e-05
1.582017e-01,3.835769e-03,6.737632e-05
1.580498e-01,3.765112e-03,6.414798e-05
1.579165e-01,3.703098e-03,6.131454e-05
1.578005e-01,3.649162e-03,5.885022e-05
1.577008e-01,3.602792e-03,5.673153e-05
1.576164e-01,3.563530e-03,5.493766e-05
1.575464e-01,3.530980e-03,5.345042e-05
1.574901e-01,3.504805e-03,5.225448e-05
1.574470e-01,3.484731e-03,5.133730e-05
1.574165e-01,3.470544e-03,5.068908e-05
1.573983e-01,3.462092e-03,5.030294e-05
1.631442e-01,6.126580e-03,1.617773e-04
1.627621e-01,5.949709e-03,1.547886e-04
1.623542e-01,5.760886e-03,1.473278e-04
1.619302e-01,5.564643e-03,1.395737e-04
1.614992e-01,5.365146e-03,1.316911e-04
1.610692e-01,5.166074e-03,1.238253e-04
1.606468e-01,4.970554e-03,1.160998e-04
1.602376e-01,4.781122e-03,1.086148e-04
1.598458e-01,4.599747e-03,1.014483e-04
1.594744e-01,4.427867e-03,9.465688e-05
1.591257e-01,4.266452e-03,8.827894e-05
1.588009e-01,4.116067e-03,8.233687e-05
1.585003e-01,3.976949e-03,7.683998e-05
1.582241e-01,3.849070e-03,7.178715e-05
1.579716e-01,3.732202e-03,6.716942e-05
1.577421e-01,3.625974e-03,6.297209e-05
1.575346e-01,3.529913e-03,5.917647e-05
1.573479e-01,3.443490e-03,5.576169e-05
1.571808e-01,3.366145e-03,5.270557e-05
1.570321e-01,3.297314e-03,4.998588e-05
1.569006e-01,3.236447e-03,4.758088e-05
1.567852e-01,3.183023e-03,4.546997e-05
1.566848e-01,3.136557e-03,4.363397e-05
1.565985e-01,3.096607e-03,4.205545e-05
1.565254e-01,3.062779e-03,4.071883e-05
1.564649e-01,3.034740e-03,3.961095e-05
1.564161e-01,3.012186e-03,3.871978e-05
1.563788e-01,2.994893e-03,3.803647e-05
1.563524e-01,2.982673e-03,3.755365e-05
1.563366e-01,2.975388e-03,3.726578e-05
1.612888e-01,5.261891e-03,1.199528e-04
1.609615e-01,5.110988e-03,1.147998e-04
1.606118e-01,4.949759e-03,1.092941e-04
1.602480e-01,4.782051e-03,1.035672e-04
1.598778e-01,4.611417e-03,9.774036e-05
1.595082e-01,4.441002e-03,9.192100e-05
1.591448e-01,4.273489e-03,8.620072e-05
1.587925e-01,4.111064e-03,8.065421e-05
1.584549e-01,3.955433e-03,7.533973e-05
1.581348e-01,3.807851e-03,7.030005e-05
1.578340e-01,3.669168e-03,6.556428e-05
1.575535e-01,3.539892e-03,6.114974e-05
1.572940e-01,3.420242e-03,5.706392e-05
1.570553e-01,3.310213e-03,5.330665e-05
1.568371e-01,3.209622e-03,4.987164e-05
1.566387e-01,3.118161e-03,4.674842e-05
1.564593e-01,3.035434e-03,4.392346e-05
1.562978e-01,2.960992e-03,4.138140e-05
1.561533e-01,2.894359e-03,3.910601e-05
1.560246e-01,2.835054e-03,3.708085e-05
1.559109e-01,2.782607e-03,3.528986e-05
1.558110e-01,2.736570e-03,3.371779e-05
1.557241e-01,2.696526e-03,3.235037e-05
1.556495e-01,2.662101e-03,3.117482e-05
1.555862e-01,2.632948e-03,3.017928e-05
1.555338e-01,2.608782e-03,2.935405e-05
1.554917e-01,2.589350e-03,2.869049e-05
